"TargetGroup","FirstDose","SecondDose","Population","Denominator","Country","ReportingCountry","minAge","maxAge","ageWidth","YearWeekISO"
"Age50_59",251,0,626108,89549,"Luxembourg","LU",50,59,10,"2020-W53"
"Age60_69",86,0,626108,61985,"Luxembourg","LU",60,69,10,"2020-W53"
"Age70_79",10,0,626108,38352,"Luxembourg","LU",70,79,10,"2020-W53"
"Age80+",1,0,626108,24925,"Luxembourg","LU",80,100,21,"2020-W53"
"Age10_14",0,0,1907675,102501,"Latvia","LV",10,14,5,"2020-W53"
"Age15_17",0,0,1907675,54269,"Latvia","LV",15,17,3,"2020-W53"
"Age18_24",131,0,1907675,119249,"Latvia","LV",18,24,7,"2020-W53"
"Age25_49",1283,0,1907675,639712,"Latvia","LV",25,49,25,"2020-W53"
"Age50_59",511,0,1907675,265997,"Latvia","LV",50,59,10,"2020-W53"
"Age60_69",291,0,1907675,241651,"Latvia","LV",60,69,10,"2020-W53"
"Age70_79",58,0,1907675,170557,"Latvia","LV",70,79,10,"2020-W53"
"Age80+",4,0,1907675,111052,"Latvia","LV",80,100,21,"2020-W53"
"Age<18",0,0,514564,81948,"Malta","MT",0,17,18,"2020-W53"
"Age18_24",61,1,514564,42136,"Malta","MT",18,24,7,"2020-W53"
"Age25_49",872,2,514564,205154,"Malta","MT",25,49,25,"2020-W53"
"Age50_59",330,2,514564,59168,"Malta","MT",50,59,10,"2020-W53"
"Age60_69",134,0,514564,59551,"Malta","MT",60,69,10,"2020-W53"
"Age70_79",30,0,514564,44918,"Malta","MT",70,79,10,"2020-W53"
"Age80+",111,2,514564,21689,"Malta","MT",80,100,21,"2020-W53"
"Age<18",0,0,5367580,1118608,"Norway","NO",0,17,18,"2020-W53"
"Age18_24",17,0,5367580,470970,"Norway","NO",18,24,7,"2020-W53"
"Age25_49",157,0,5367580,1825133,"Norway","NO",25,49,25,"2020-W53"
"Age50_59",99,0,5367580,703830,"Norway","NO",50,59,10,"2020-W53"
"Age60_69",172,0,5367580,582495,"Norway","NO",60,69,10,"2020-W53"
"Age70_79",456,0,5367580,435834,"Norway","NO",70,79,10,"2020-W53"
"Age80+",1461,0,5367580,230710,"Norway","NO",80,100,21,"2020-W53"
"Age0_4",0,0,37958138,NA,"Poland","PL",0,4,5,"2020-W53"
"Age10_14",0,0,37958138,1998280,"Poland","PL",10,14,5,"2020-W53"
"Age15_17",42,0,37958138,1051166,"Poland","PL",15,17,3,"2020-W53"
"Age18_24",1151,0,37958138,2754264,"Poland","PL",18,24,7,"2020-W53"
"Age25_49",24240,1,37958138,14035724,"Poland","PL",25,49,25,"2020-W53"
"Age5_9",0,0,37958138,NA,"Poland","PL",5,9,5,"2020-W53"
"Age50_59",16020,1,37958138,4606379,"Poland","PL",50,59,10,"2020-W53"
"Age60_69",8685,0,37958138,5179612,"Poland","PL",60,69,10,"2020-W53"
"Age70_79",1732,0,37958138,2783163,"Poland","PL",70,79,10,"2020-W53"
"Age80+",487,1,37958138,1685759,"Poland","PL",80,100,21,"2020-W53"
"Age15_17",2,0,10295909,320065,"Portugal","PT",15,17,3,"2020-W53"
"Age18_24",1371,1,10295909,775701,"Portugal","PT",18,24,7,"2020-W53"
"Age25_49",24123,11,10295909,3360653,"Portugal","PT",25,49,25,"2020-W53"
"Age50_59",6955,1,10295909,1485319,"Portugal","PT",50,59,10,"2020-W53"
"Age60_69",3137,2,10295909,1299674,"Portugal","PT",60,69,10,"2020-W53"
"Age70_79",152,0,10295909,981649,"Portugal","PT",70,79,10,"2020-W53"
