dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
23;09;2021-07-08;4;0;5159.0;0.1;0.0
23;11;2021-07-08;5;0;2304.0;0.2;0.0
23;17;2021-07-08;1070;84;7037.0;15.2;1.2
23;24;2021-07-08;3351;1803;6260.0;53.5;28.8
23;29;2021-07-08;2081;1218;4492.0;46.3;27.1
23;39;2021-07-08;5048;3342;10711.0;47.1;31.2
23;49;2021-07-08;7603;5460;13371.0;56.9;40.8
23;59;2021-07-08;11600;9372;17031.0;68.1;55.0
23;64;2021-07-08;7418;6481;9821.0;75.5;66.0
23;69;2021-07-08;7842;6982;9849.0;79.6;70.9
23;74;2021-07-08;7926;7307;8970.0;88.4;81.5
23;79;2021-07-08;4871;4604;5131.0;94.9;89.7
23;80;2021-07-08;9419;8782;11943.0;78.9;73.5
24;04;2021-07-08;24;6;15506.0;0.2;0.0
24;09;2021-07-08;6;2;19080.0;0.0;0.0
24;11;2021-07-08;6;0;8549.0;0.1;0.0
24;17;2021-07-08;4186;319;25834.0;16.2;1.2
24;24;2021-07-08;9811;3997;22541.0;43.5;17.7
24;29;2021-07-08;5862;2878;15932.0;36.8;18.1
24;39;2021-07-08;16281;8857;39189.0;41.5;22.6
24;49;2021-07-08;25274;15694;48292.0;52.3;32.5
24;59;2021-07-08;37746;28465;59110.0;63.9;48.2
24;64;2021-07-08;23507;19762;32291.0;72.8;61.2
24;69;2021-07-08;25776;22309;33389.0;77.2;66.8
24;74;2021-07-08;27419;24941;30858.0;88.9;80.8
24;79;2021-07-08;17068;15888;19184.0;89.0;82.8
24;80;2021-07-08;29383;26854;38638.0;76.0;69.5
25;04;2021-07-08;18;5;29568.0;0.1;0.0
25;09;2021-07-08;13;2;33510.0;0.0;0.0
25;11;2021-07-08;30;8;13811.0;0.2;0.1
25;17;2021-07-08;6771;1077;41084.0;16.5;2.6
25;24;2021-07-08;20493;10914;47429.0;43.2;23.0
25;29;2021-07-08;12268;7145;30431.0;40.3;23.5
25;39;2021-07-08;29245;18357;67253.0;43.5;27.3
25;49;2021-07-08;39302;27609;67339.0;58.4;41.0
25;59;2021-07-08;46638;38812;67781.0;68.8;57.3
25;64;2021-07-08;23717;20941;31706.0;74.8;66.0
25;69;2021-07-08;23309;21118;30203.0;77.2;69.9
25;74;2021-07-08;24292;22573;28593.0;85.0;78.9
25;79;2021-07-08;16164;15230;17681.0;91.4;86.1
25;80;2021-07-08;26789;24981;33060.0;81.0;75.6
26;04;2021-07-08;16;4;27732.0;0.1;0.0
26;09;2021-07-08;15;0;32309.0;0.0;0.0
26;11;2021-07-08;19;4;13808.0;0.1;0.0
26;17;2021-07-08;6382;960;39847.0;16.0;2.4
26;24;2021-07-08;17593;9842;34548.0;50.9;28.5
26;29;2021-07-08;10751;6401;24822.0;43.3;25.8
26;39;2021-07-08;28913;19086;62462.0;46.3;30.6
26;49;2021-07-08;39739;29192;65055.0;61.1;44.9
26;59;2021-07-08;51134;42609;69283.0;73.8;61.5
26;64;2021-07-08;26197;23361;33560.0;78.1;69.6
26;69;2021-07-08;26713;24301;32308.0;82.7;75.2
26;74;2021-07-08;27143;25324;29997.0;90.5;84.4
26;79;2021-07-08;19289;18301;19941.0;96.7;91.8
26;80;2021-07-08;28631;26739;34888.0;82.1;76.6
27;04;2021-07-08;10;1;33179.0;0.0;0.0
27;09;2021-07-08;12;1;39766.0;0.0;0.0
27;11;2021-07-08;18;1;16746.0;0.1;0.0
27;17;2021-07-08;8936;949;48374.0;18.5;2.0
27;24;2021-07-08;19085;8602;40670.0;46.9;21.2
27;29;2021-07-08;11386;5670;28567.0;39.9;19.8
27;39;2021-07-08;32054;17615;73301.0;43.7;24.0
27;49;2021-07-08;44083;27284;80019.0;55.1;34.1
27;59;2021-07-08;56216;41714;80762.0;69.6;51.7
27;64;2021-07-08;29681;24837;38454.0;77.2;64.6
27;69;2021-07-08;29651;25690;36662.0;80.9;70.1
27;74;2021-07-08;28231;25714;31470.0;89.7;81.7
27;79;2021-07-08;18013;16872;18731.0;96.2;90.1
27;80;2021-07-08;27626;25422;33986.0;81.3;74.8
28;04;2021-07-08;11;3;24097.0;0.0;0.0
28;09;2021-07-08;5;1;27820.0;0.0;0.0
28;11;2021-07-08;13;3;11613.0;0.1;0.0
28;17;2021-07-08;9172;1085;33676.0;27.2;3.2
28;24;2021-07-08;14800;6446;27514.0;53.8;23.4
28;29;2021-07-08;8767;4360;20894.0;42.0;20.9
28;39;2021-07-08;24170;13676;51269.0;47.1;26.7
28;49;2021-07-08;33412;20964;55770.0;59.9;37.6
28;59;2021-07-08;40819;30618;57755.0;70.7;53.0
28;64;2021-07-08;21011;17692;27002.0;77.8;65.5
28;69;2021-07-08;21221;18518;26418.0;80.3;70.1
28;74;2021-07-08;21316;19553;23002.0;92.7;85.0
28;79;2021-07-08;13051;12299;13878.0;94.0;88.6
28;80;2021-07-08;22725;20902;28717.0;79.1;72.8
29;04;2021-07-08;25;4;41580.0;0.1;0.0
29;09;2021-07-08;17;0;49680.0;0.0;0.0
29;11;2021-07-08;42;4;21519.0;0.2;0.0
29;17;2021-07-08;17077;818;65991.0;25.9;1.2
29;24;2021-07-08;39991;14648;70022.0;57.1;20.9
29;29;2021-07-08;22255;9683;42569.0;52.3;22.7
29;39;2021-07-08;56384;26923;99828.0;56.5;27.0
29;49;2021-07-08;76410;41594;113799.0;67.1;36.6
29;59;2021-07-08;95230;67980;123509.0;77.1;55.0
29;64;2021-07-08;53290;43857;63508.0;83.9;69.1
29;69;2021-07-08;53322;45117;60999.0;87.4;74.0
29;74;2021-07-08;53035;48401;54208.0;97.8;89.3
29;79;2021-07-08;31415;29704;32298.0;97.3;92.0
29;80;2021-07-08;57677;53883;67044.0;86.0;80.4
2A;04;2021-07-08;8;6;7413.0;0.1;0.1
2A;09;2021-07-08;2;0;8580.0;0.0;0.0
2A;11;2021-07-08;6;1;3518.0;0.2;0.0
2A;17;2021-07-08;852;213;9322.0;9.1;2.3
2A;24;2021-07-08;3953;2777;9206.0;42.9;30.2
2A;29;2021-07-08;3285;2416;7844.0;41.9;30.8
2A;39;2021-07-08;8443;6640;20657.0;40.9;32.1
2A;49;2021-07-08;12094;10335;22044.0;54.9;46.9
2A;59;2021-07-08;16139;14798;23268.0;69.4;63.6
2A;64;2021-07-08;8180;7879;10671.0;76.7;73.8
2A;69;2021-07-08;8335;8113;10602.0;78.6;76.5
2A;74;2021-07-08;7777;7587;9731.0;79.9;78.0
2A;79;2021-07-08;5445;5249;7933.0;68.6;66.2
2A;80;2021-07-08;8053;7596;11632.0;69.2;65.3
2B;04;2021-07-08;12;4;8250.0;0.1;0.0
2B;09;2021-07-08;3;0;9501.0;0.0;0.0
2B;11;2021-07-08;1;0;4048.0;0.0;0.0
2B;17;2021-07-08;738;94;11185.0;6.6;0.8
2B;24;2021-07-08;3590;2336;13486.0;26.6;17.3
2B;29;2021-07-08;2842;1989;9563.0;29.7;20.8
2B;39;2021-07-08;8185;6373;22967.0;35.6;27.7
2B;49;2021-07-08;11620;9804;23161.0;50.2;42.3
2B;59;2021-07-08;16039;14428;24702.0;64.9;58.4
