dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
03;04;2021-10-28;15;7;0;14190.0;0.1;0.0;0.0
03;11;2021-10-28;128;109;3;7080.0;1.8;1.5;0.0
03;17;2021-10-28;20071;18788;6;22000.0;91.2;85.4;0.0
03;24;2021-10-28;23409;22129;20;20427.0;99.0;99.0;0.1
03;29;2021-10-28;13938;13236;25;14422.0;96.6;91.8;0.2
03;39;2021-10-28;31032;29842;151;33349.0;93.1;89.5;0.5
03;49;2021-10-28;38267;37213;276;39464.0;97.0;94.3;0.7
03;59;2021-10-28;44471;43829;863;45840.0;97.0;95.6;1.9
03;09;2021-10-28;9;1;0;16681.0;0.1;0.0;0.0
03;64;2021-10-28;22866;22674;759;23776.0;96.2;95.4;3.2
03;69;2021-10-28;23329;23107;1551;25182.0;92.6;91.8;6.2
03;74;2021-10-28;23148;22985;2702;23121.0;99.0;99.0;11.7
03;79;2021-10-28;15227;15112;5425;15099.0;99.0;99.0;35.9
03;80;2021-10-28;27025;26560;10266;30684.0;88.1;86.6;33.5
04;04;2021-10-28;9;4;1;7352.0;0.1;0.1;0.0
04;11;2021-10-28;34;26;0;3721.0;0.9;0.7;0.0
04;17;2021-10-28;6910;6363;3;11153.0;62.0;57.1;0.0
04;24;2021-10-28;7653;7166;22;9366.0;81.7;76.5;0.2
04;29;2021-10-28;4779;4558;20;7090.0;67.4;64.3;0.3
04;39;2021-10-28;11770;11296;55;17545.0;67.1;64.4;0.3
04;49;2021-10-28;14653;14207;88;19525.0;75.0;72.8;0.5
04;59;2021-10-28;19439;18910;364;23898.0;81.3;79.1;1.5
04;09;2021-10-28;4;1;0;8868.0;0.0;0.0;0.0
04;64;2021-10-28;10578;10386;362;12510.0;84.6;83.0;2.9
04;69;2021-10-28;10609;10431;735;11975.0;88.6;87.1;6.1
04;74;2021-10-28;10750;10638;1358;11196.0;96.0;95.0;12.1
04;79;2021-10-28;7761;7652;2451;7612.0;99.0;99.0;32.2
04;80;2021-10-28;11484;11191;3883;13386.0;85.8;83.6;29.0
05;04;2021-10-28;5;3;0;6561.0;0.1;0.0;0.0
05;11;2021-10-28;29;25;0;3350.0;0.9;0.7;0.0
05;17;2021-10-28;8181;7607;3;9735.0;84.0;78.1;0.0
05;24;2021-10-28;8581;8568;10;8030.0;99.0;99.0;0.1
05;29;2021-10-28;5327;5182;19;6298.0;84.6;82.3;0.3
05;39;2021-10-28;12881;12616;52;16000.0;80.5;78.8;0.3
05;49;2021-10-28;15010;14906;82;17800.0;84.3;83.7;0.5
05;59;2021-10-28;17747;17663;351;20029.0;88.6;88.2;1.8
05;09;2021-10-28;5;2;0;8021.0;0.1;0.0;0.0
05;64;2021-10-28;9265;9220;260;10157.0;91.2;90.8;2.6
05;69;2021-10-28;9364;9270;503;10059.0;93.1;92.2;5.0
05;74;2021-10-28;9066;8995;955;8831.0;99.0;99.0;10.8
05;79;2021-10-28;6034;5975;2021;5786.0;99.0;99.0;34.9
05;80;2021-10-28;9463;9288;3394;11099.0;85.3;83.7;30.6
06;04;2021-10-28;434;239;4;53718.0;0.8;0.4;0.0
06;11;2021-10-28;269;233;0;23848.0;1.1;1.0;0.0
06;17;2021-10-28;49381;46009;39;69129.0;71.4;66.6;0.1
06;24;2021-10-28;77530;73058;212;75754.0;99.0;96.4;0.3
06;29;2021-10-28;55925;52331;272;53360.0;99.0;98.1;0.5
06;39;2021-10-28;126812;119136;681;126997.0;99.0;93.8;0.5
06;49;2021-10-28;139146;132014;1010;136067.0;99.0;97.0;0.7
06;59;2021-10-28;152540;146562;2467;146182.0;99.0;99.0;1.7
06;09;2021-10-28;43;25;0;56870.0;0.1;0.0;0.0
06;64;2021-10-28;67349;65378;2191;67948.0;99.0;96.2;3.2
06;69;2021-10-28;63073;61565;6839;65935.0;95.7;93.4;10.4
06;74;2021-10-28;65065;63601;11880;64545.0;99.0;98.5;18.4
06;79;2021-10-28;49230;48330;18425;49474.0;99.0;97.7;37.2
06;80;2021-10-28;79499;76979;28541;89569.0;88.8;85.9;31.9
07;04;2021-10-28;15;10;1;15100.0;0.1;0.1;0.0
07;11;2021-10-28;103;86;1;7531.0;1.4;1.1;0.0
07;17;2021-10-28;17073;15735;11;23408.0;72.9;67.2;0.0
07;24;2021-10-28;19027;18125;30;18892.0;99.0;95.9;0.2
07;29;2021-10-28;10863;10322;28;13765.0;78.9;75.0;0.2
07;39;2021-10-28;26494;25312;101;34837.0;76.1;72.7;0.3
07;49;2021-10-28;32939;32071;180;41497.0;79.4;77.3;0.4
07;59;2021-10-28;39972;39246;554;46663.0;85.7;84.1;1.2
